structure,type,seas_adj,date,value
gdp,nom,csa,2012-07-01,156962.329866432
gdp,nom,csa,2012-10-01,157276.980249596
gdp,nom,csa,2013-01-01,158051.221898866
gdp,nom,csa,2013-04-01,159311.856537143
gdp,nom,csa,2013-07-01,160477.202848179
gdp,nom,csa,2013-10-01,160543.367923906
gdp,nom,csa,2014-01-01,161249.07544305
gdp,nom,csa,2014-04-01,161899.603745015
gdp,nom,csa,2014-07-01,162986.094602156
gdp,nom,csa,2014-10-01,163849.245915331
gdp,nom,csa,2015-01-01,163267.7914271
gdp,nom,csa,2015-04-01,163085.99980128
gdp,nom,csa,2015-07-01,163608.804640504
gdp,nom,csa,2015-10-01,164202.925218692
gdp,nom,csa,2016-01-01,164540.322272064
gdp,nom,csa,2016-04-01,165297.448584165
gdp,nom,csa,2016-07-01,165795.364242032
gdp,nom,csa,2016-10-01,165955.63528339
gdp,nom,csa,2017-01-01,165963.334937553
gdp,nom,csa,2017-04-01,166549.755146989
gdp,nom,csa,2017-07-01,167760.051948036
gdp,nom,csa,2017-10-01,169358.774474258
gdp,nom,csa,2018-01-01,171063.133196564
gdp,nom,csa,2018-04-01,172861.98075713
gdp,nom,csa,2018-07-01,172914.775316642
gdp,nom,csa,2018-10-01,173137.072607354
gdp,nom,csa,2019-01-01,173859.524664881
gdp,nom,csa,2019-04-01,174419.319411506
gdp,nom,csa,2019-07-01,175042.41207739
agric,nom,csa,1990-01-01,1982.85002131184
agric,nom,csa,1990-04-01,2017.91496510184
agric,nom,csa,1990-07-01,2025.87635249722
agric,nom,csa,1990-10-01,1997.19075737587
agric,nom,csa,1991-01-01,1929.51984699735
agric,nom,csa,1991-04-01,1924.95468510723
agric,nom,csa,1991-07-01,1883.94478000185
agric,nom,csa,1991-10-01,1847.62322733553
agric,nom,csa,1992-01-01,1803.55039380149
agric,nom,csa,1992-04-01,1796.89185871607
agric,nom,csa,1992-07-01,1797.36858640354
agric,nom,csa,1992-10-01,1731.64525402127
agric,nom,csa,1993-01-01,1705.3175404948
agric,nom,csa,1993-04-01,1651.45907049381
agric,nom,csa,1993-07-01,1665.21619921238
agric,nom,csa,1993-10-01,1617.53336105021
agric,nom,csa,1994-01-01,1603.18852075424
agric,nom,csa,1994-04-01,1558.25706118923
agric,nom,csa,1994-07-01,1604.19782097783
agric,nom,csa,1994-10-01,1600.13927429589
agric,nom,csa,1995-01-01,1556.77242309419
agric,nom,csa,1995-04-01,1487.53068546487
agric,nom,csa,1995-07-01,1483.15057342001
agric,nom,csa,1995-10-01,1448.04472698327
